ID_DEPARTAMENTO,DEPARTAMENTO,ID_MUNICIPIO,MUNICIPIO,Latitud,Longitud,LOCALIDAD,Solar_radiation_promedio,Wind_promedio,consumo_energia_promedio,tipo_cultivo,Desecho_Ton_promedio,Solar_norm,Wind_norm,Desecho_norm,Indice_Solar,Indice_Eolico,Indice_Biomasa,Energia_Prioritaria
27,CHOCÓ,27361,ISTMINA,4.741,-76.872,POTEDÓ (ISTMINA - CHOCÓ),16456.98242,0.766666651,4798.25,PALMA DE ACEITE,972.172549366951,0.8370095404307772,0.17490494447252386,1.0,4016.181027371977,839.2376498152876,4798.25,Biomasa
27,CHOCÓ,27361,ISTMINA,4.741,-76.872,UNION CHOCO (ISTMINA - CHOCÓ),16456.98242,0.766666651,2475.0,PALMA DE ACEITE,972.172549366951,0.8370095404307772,0.17490494447252386,1.0,2071.598612566174,432.88973756949656,2475.0,Biomasa
27,CHOCÓ,27372,JURADÓ,7.116,-77.688,JURADO (JURADO - CHOCÓ),18079.74219,1.5,237768.02,PALMA DE ACEITE,972.172549366951,0.9195438334532069,0.3422053331347861,1.0,218638.11658337875,81365.48449289848,237768.02,Biomasa
27,CHOCÓ,27372,JURADÓ,7.116,-77.688,JURADÓ (JURAÓ - CHOCÓ),18079.74219,1.5,256385.33,PALMA DE ACEITE,972.172549366951,0.9195438334532069,0.3422053331347861,1.0,235757.54918936547,87736.42726352207,256385.33,Biomasa
27,CHOCÓ,27425,MEDIO ATRATO (Beté),6.037,-76.677,BETÉ (MEDIO ATRATO (BETÉ) - CHOCÓ),16570.1582,0.725000024,23173.14,PALMA DE ACEITE,972.172549366951,0.8427657115919357,0.16539924982376528,1.0,19529.52782191955,3832.819972061088,23173.14,Biomasa
27,CHOCÓ,27425,MEDIO ATRATO (Beté),6.037,-76.677,BETE (MEDIO ATRATO - CHOCÓ),16570.1582,0.725000024,23520.39,PALMA DE ACEITE,972.172549366951,0.8427657115919357,0.16539924982376528,1.0,19822.178215269847,3890.2548615623905,23520.39,Biomasa
27,CHOCÓ,27425,MEDIO ATRATO (Beté),6.037,-76.677,SAN ROQUE (MEDIO ATRATO (BETÉ) - CHOCÓ),16570.1582,0.725000024,3100.6,PALMA DE ACEITE,972.172549366951,0.8427657115919357,0.16539924982376528,1.0,2613.0793653619558,512.8369140035666,3100.6,Biomasa
27,CHOCÓ,27425,MEDIO ATRATO (Beté),6.037,-76.677,SAN ROQUE (MEDIO ATRATO - CHOCÓ),16570.1582,0.725000024,1478.13,PALMA DE ACEITE,972.172549366951,0.8427657115919357,0.16539924982376528,1.0,1245.717281275388,244.4815931420022,1478.13,Biomasa
27,CHOCÓ,27450,MEDIO SAN JUAN,4.815,-76.808,LA LERMA,16308.6416,0.708333313,1244.0,PALMA DE ACEITE,972.172549366951,0.8294648594919175,0.16159695823042117,1.0,1031.8542852079454,201.02661603864394,1244.0,Biomasa
27,CHOCÓ,27450,MEDIO SAN JUAN,4.815,-76.808,MACEDONIA (MEDIO SAN JUAN - CHOCÓ),16308.6416,0.708333313,32.6,PALMA DE ACEITE,972.172549366951,0.8294648594919175,0.16159695823042117,1.0,27.04055441943651,5.26806083831173,32.6,Biomasa
27,CHOCÓ,27450,MEDIO SAN JUAN,4.815,-76.808,UNIÓN WAUNAÁN (MEDIO SAN JUAN - CHOCÓ),16308.6416,0.708333313,5060.5,PALMA DE ACEITE,972.172549366951,0.8294648594919175,0.16159695823042117,1.0,4197.506921458848,817.7614071250463,5060.5,Biomasa
27,CHOCÓ,27491,NÓVITA,4.856,-76.621,JUNTAS DE TAMANA (NOVITA - CHOCÓ),16649.64258,0.683333337,2685.2,PALMA DE ACEITE,972.172549366951,0.8468083229697282,0.15589354148679338,1.0,2273.849708838314,418.6053376003376,2685.2,Biomasa
